_id,ov,intention,user,createdAt
5ff7cda84bd6cf0f14a53e61,6601812,Buscar pedido,GO1_GFA_EXP,2021-01-08T03:12:40.124Z
5ff7d35c4bd6cf0f14a53e62,6642964,Buscar pedido,kldc00138649,2021-01-08T03:37:00.668Z
5ff7dbcd4bd6cf0f14a53e63,6627838,Buscar pedido,kldc00138649,2021-01-08T04:13:01.900Z
5ff7de854bd6cf0f14a53e64,6627838,Buscar pedido,kldc00138649,2021-01-08T04:24:37.700Z
5ff7dee04bd6cf0f14a53e65,6641131,Buscar pedido,klrs00138246,2021-01-08T04:26:08.846Z
5ff7df294bd6cf0f14a53e66,6629601,Buscar pedido,klrs00138246,2021-01-08T04:27:21.756Z
5ff7df384bd6cf0f14a53e67,6633293,Buscar pedido,kldc00138649,2021-01-08T04:27:36.913Z
5ff7df9d4bd6cf0f14a53e68,6629601,Buscar pedido,klrs00138246,2021-01-08T04:29:17.195Z
5ff7e0f34bd6cf0f14a53e69,6636107,Buscar pedido,klrs00138246,2021-01-08T04:34:59.702Z
5ff7e1774bd6cf0f14a53e6a,6637264,Buscar pedido,klrs00138246,2021-01-08T04:37:11.880Z
5ff7e6024bd6cf0f14a53e6b,6642392,Buscar pedido,kldc00138649,2021-01-08T04:56:34.314Z
5ff8015c4bd6cf0f14a53e6c,6569249,Buscar pedido,ita_gfa_exp,2021-01-08T06:53:16.427Z
5ff804614bd6cf0f14a53e6d,6592120,Buscar pedido,GO1_GFA_EXP,2021-01-08T07:06:09.828Z
5ff804cf4bd6cf0f14a53e6e,6592120,Buscar pedido,GO1_GFA_EXP,2021-01-08T07:07:59.374Z
5ff8085b4bd6cf0f14a53e6f,6569728,Buscar pedido,aasiqueira,2021-01-08T07:23:07.965Z
5ff809184bd6cf0f14a53e70,6629607,Buscar pedido,klrs00138246,2021-01-08T07:26:16.227Z
5ff809464bd6cf0f14a53e71,6629607,Buscar pedido,klrs00138246,2021-01-08T07:27:02.881Z
5ff80f384bd6cf0f14a53e72,6630574,Buscar pedido,klrs00138246,2021-01-08T07:52:24.707Z
5ff8122a4bd6cf0f14a53e73,6630574,Buscar pedido,klrs00138246,2021-01-08T08:04:58.351Z
5ff813774bd6cf0f14a53e74,6569728,Buscar pedido,aasiqueira,2021-01-08T08:10:31.869Z
5ff81e1c4bd6cf0f14a53e75,6569728,Buscar pedido,aasiqueira,2021-01-08T08:55:56.642Z
5ff8298b4bd6cf0f14a53e76,6569728,Buscar pedido,rcandrade,2021-01-08T09:44:43.243Z
5ff8348e4bd6cf0f14a53e77,6626779,Buscar pedido,cavieira,2021-01-08T10:31:42.689Z
5ff838b24bd6cf0f14a53e78,6541544,Buscar pedido,jmklein,2021-01-08T10:49:22.140Z
5ff8391e4bd6cf0f14a53e79,6626779,Buscar pedido,klin00138633,2021-01-08T10:51:10.079Z
5ff839fb4bd6cf0f14a53e7a,6633463,Buscar pedido,klin00138633,2021-01-08T10:54:51.801Z
5ff83afe4bd6cf0f14a53e7b,6627257,Buscar pedido,klin00138633,2021-01-08T10:59:10.608Z
5ff83b9f4bd6cf0f14a53e7c,6642947,Buscar pedido,klin00138633,2021-01-08T11:01:51.157Z
5ff83bb84bd6cf0f14a53e7d,6642547,Buscar pedido,klls00129566,2021-01-08T11:02:16.031Z
5ff83c544bd6cf0f14a53e7e,6643674,Buscar pedido,klin00138633,2021-01-08T11:04:52.997Z
5ff83e584bd6cf0f14a53e7f,6643674,Buscar pedido,klin00138633,2021-01-08T11:13:28.471Z
5ff842814bd6cf0f14a53e80,6643758,Buscar pedido,klsc00127994,2021-01-08T11:31:13.636Z
5ff842d24bd6cf0f14a53e81,1336583,Buscar pedido,klsc00127994,2021-01-08T11:32:34.139Z
5ff843054bd6cf0f14a53e82,6596591,Buscar pedido,ITA_GFA_EXP,2021-01-08T11:33:25.933Z
5ff843a04bd6cf0f14a53e83,6635963,Buscar pedido,klsc00127994,2021-01-08T11:36:00.252Z
5ff8440c4bd6cf0f14a53e84,6596591,Buscar pedido,ITA_GFA_EXP,2021-01-08T11:37:48.335Z
5ff8472f4bd6cf0f14a53e85,6643763,Buscar pedido,klsc00127994,2021-01-08T11:51:11.165Z
5ff8473f4bd6cf0f14a53e86,1334665,Buscar pedido,KLDS00137961,2021-01-08T11:51:27.829Z
5ff847704bd6cf0f14a53e87,1334824,Buscar pedido,KLDS00137961,2021-01-08T11:52:16.718Z
5ff848084bd6cf0f14a53e88,6642027,Buscar pedido,KLAP00138109,2021-01-08T11:54:48.869Z
5ff84bb94bd6cf0f14a53e89,6643834,Buscar pedido,klin00138633,2021-01-08T12:10:33.449Z
5ff84cc04bd6cf0f14a53e8a,56589761,Buscar pedido,klsc00127994,2021-01-08T12:14:56.307Z
5ff84d914bd6cf0f14a53e8b,6643065,Buscar pedido,KLTO00139266,2021-01-08T12:18:25.600Z
5ff84da44bd6cf0f14a53e8c,6629607,Buscar pedido,klms00138386,2021-01-08T12:18:44.267Z
5ff84e454bd6cf0f14a53e8d,6629664,Buscar pedido,klms00138386,2021-01-08T12:21:25.746Z
5ff84e464bd6cf0f14a53e8e,6642316,Buscar pedido,KLJS00139179,2021-01-08T12:21:26.391Z
5ff84e894bd6cf0f14a53e8f,6643065,Buscar pedido,KLTO00139266,2021-01-08T12:22:33.004Z
